estacao;media;moda;mediana;desvio padrao;variancia;desvio padrao populacional;variancia populacional
FLORIANOPOLIS;20,849914295509084;19,8;20,7;4,412452216634473;19,469734564082472;4,4122000981177605;19,467509705830377
URUSSANGA;19,689679891237176;20,6;19,7;5,624418643446746;31,634085076751337;5,62407106017889;31,6301752899417
SAO JOAQUIM;13,300206327372765;14,2;13,4;5,231171831728978;27,365158733074715;5,2308720081533355;27,36202196568211
NOVO HORIZONTE;18,68292261132728;17,1;18,4;4,4267713129793265;19,59630425741671;4,425814276688177;19,58783201173689
INDAIAL;22,478266579120156;20,4;22,4;4,128665744563775;17,045880830334347;4,127310083471715;17,0346885251273
JOACABA;18,35184431442381;19,2;18,1;5,387407380395109;29,02415828233569;5,387064746287828;29,020466580697132
BOM JARDIM DA SERRA - MORRO DA IGREJA;10,634183321847003;10,1;10,5;4,585695199693693;21,028600464493778;4,585431828059803;21,026185049783866
DIONISIO CERQUEIRA;19,00307269547839;20,4;19,1;5,44584151512248;29,65718980783151;5,445501394489158;29,653485437383367
ITAPOA;20,213166609569488;20,2;20,2;4,601955657756954;21,17799587596124;4,601692891567358;21,175577468301547
SAO MIGUEL DO OESTE;19,53447559709242;21,6;19,6;6,117285915885083;37,421186976686;6,116888882886717;37,41632960558311
XANXERE;19,628946904215912;18,3;19,5;5,084031690592503;25,847378230948866;5,08358326442267;25,842818806318252
CACADOR;16,490804140127388;17,1;16,5;5,498421474954937;30,23263871624563;5,498056652509859;30,22862695420791
CURITIBANOS;19,182334384858045;19,4;19,0;4,768175589659333;22,735498453823134;4,767235399254915;22,726533351909165
RIO DO CAMPO;21,07065623937436;18,7;20,7;4,666530766976189;21,776509399135378;4,665737341693403;21,76910494167222
RIO NEGRINHO;17,670907473309608;19,0;17,6;5,085774565536916;25,865102931462204;5,085322074360653;25,860500599979737
ITUPORANGA;17,6849200913242;16,7;17,4;5,474490113932292;29,970042007542403;5,474177634117321;29,96662076987031
MAJOR VIEIRA;17,022340954274355;17,9;17,0;5,540055830292819;30,69221860276146;5,539711631241182;30,68840495730883
LAGES;17,291313730779606;16,9;17,3;5,107725657033191;26,088861387515138;5,1070366807493475;26,081823658519316
Laguna  - Farol de Santa Marta;18,40460321942954;21,6;18,5;3,4456430757574203;11,872456205515055;3,4451565060909743;11,869103351460971
ARARANGUA;19,49103827641531;19,6;19,5;4,93423081324943;24,346633718420136;4,933948073610012;24,343843593079953
ITAJAI;19,980671208680292;17,7;19,9;4,496056720641597;20,214526035226477;4,49577308459926;20,211975628207142
RANCHO QUEIMADO;15,59654109589041;15,1;15,4;4,863494839330907;23,653582052198367;4,863217234670769;23,6508818715988
CHAPECO;18,985576259489303;18,8;18,9;5,810389977265115;33,76063168790291;5,810055806741344;33,75674847744881
CAMPOS NOVOS;16,30974741676234;16,8;16,3;5,602911485453498;31,392617113826716;5,602589839511302;31,38901290979528
